,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
26,76.0,89.0,86.0,72.0,76.0,85.0,86.0,72.0,76.0,85.0,86.0,72.0,71.0,75.0,79.0,63.0,68.0,79.0,83.0,67.0,71.0,83.0,87.0,70.0,75.0,79.0,81.0,67.0,71.0,79.0,85.0,62.0,79.0,87.0,89.0,71.0
27,76.0,85.0,86.0,72.0,76.0,85.0,86.0,72.0,68.0,85.0,86.0,68.0,68.0,79.0,83.0,67.0,71.0,83.0,87.0,70.0,71.0,83.0,91.0,74.0,71.0,79.0,85.0,62.0,79.0,87.0,89.0,71.0,75.0,87.0,89.0,71.0
28,68.0,85.0,86.0,68.0,72.0,85.0,86.0,72.0,72.0,81.0,82.0,68.0,71.0,83.0,91.0,74.0,76.0,87.0,91.0,70.0,76.0,83.0,87.0,67.0,75.0,87.0,89.0,71.0,75.0,83.0,89.0,67.0,75.0,83.0,85.0,67.0
29,72.0,85.0,86.0,72.0,72.0,81.0,82.0,68.0,72.0,81.0,86.0,68.0,76.0,87.0,91.0,70.0,76.0,83.0,87.0,67.0,71.0,79.0,83.0,67.0,75.0,83.0,89.0,67.0,75.0,83.0,85.0,67.0,75.0,83.0,89.0,71.0
30,72.0,81.0,82.0,68.0,72.0,81.0,86.0,68.0,72.0,77.0,78.0,61.0,76.0,83.0,87.0,67.0,71.0,79.0,83.0,67.0,71.0,79.0,79.0,67.0,75.0,83.0,85.0,67.0,75.0,83.0,89.0,71.0,75.0,79.0,89.0,71.0
31,72.0,77.0,78.0,61.0,64.0,73.0,74.0,57.0,68.0,77.0,78.0,65.0,71.0,79.0,79.0,67.0,71.0,83.0,79.0,63.0,68.0,75.0,79.0,63.0,75.0,79.0,89.0,71.0,71.0,79.0,85.0,67.0,75.0,83.0,89.0,67.0
32,88.0,121.0,128.0,99.0,92.0,116.0,122.0,99.0,88.0,116.0,122.0,96.0,88.0,111.0,118.0,92.0,88.0,111.0,113.0,92.0,88.0,103.0,109.0,87.0,90.0,109.0,117.0,89.0,86.0,109.0,112.0,92.0,90.0,113.0,122.0,92.0
33,80.0,95.0,100.0,78.0,80.0,99.0,104.0,78.0,80.0,95.0,100.0,78.0,84.0,99.0,100.0,79.0,79.0,99.0,104.0,79.0,84.0,95.0,104.0,79.0,86.0,109.0,104.0,85.0,82.0,100.0,104.0,81.0,82.0,100.0,100.0,81.0
34,80.0,95.0,100.0,74.0,84.0,95.0,100.0,74.0,80.0,91.0,91.0,70.0,84.0,95.0,100.0,79.0,79.0,95.0,100.0,75.0,71.0,83.0,96.0,75.0,82.0,91.0,100.0,74.0,74.0,79.0,96.0,81.0,66.0,63.0,100.0,92.0
35,88.0,107.0,113.0,88.0,88.0,107.0,118.0,88.0,88.0,107.0,113.0,88.0,93.0,107.0,109.0,87.0,88.0,107.0,113.0,87.0,93.0,111.0,109.0,87.0,90.0,109.0,112.0,89.0,90.0,109.0,112.0,89.0,86.0,109.0,112.0,89.0
36,88.0,107.0,108.0,85.0,88.0,107.0,104.0,88.0,88.0,107.0,108.0,85.0,93.0,111.0,109.0,87.0,93.0,107.0,113.0,92.0,88.0,103.0,113.0,87.0,90.0,113.0,112.0,92.0,90.0,113.0,112.0,89.0,90.0,109.0,112.0,89.0
37,88.0,107.0,104.0,88.0,88.0,107.0,108.0,85.0,88.0,107.0,113.0,85.0,93.0,107.0,113.0,92.0,88.0,103.0,113.0,87.0,84.0,103.0,104.0,83.0,90.0,113.0,112.0,89.0,90.0,109.0,112.0,89.0,86.0,109.0,108.0,89.0
