,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
6,78.0,102.0,105.0,83.0,82.0,106.0,105.0,87.0,82.0,97.0,105.0,87.0,84.0,98.0,106.0,83.0,80.0,98.0,102.0,83.0,80.0,98.0,98.0,79.0,76.0,87.0,96.0,70.0,68.0,79.0,83.0,67.0,68.0,79.0,83.0,67.0
7,82.0,97.0,105.0,87.0,82.0,97.0,105.0,80.0,78.0,88.0,89.0,73.0,80.0,98.0,98.0,79.0,76.0,94.0,94.0,76.0,76.0,89.0,86.0,72.0,68.0,79.0,83.0,67.0,71.0,75.0,87.0,67.0,71.0,75.0,79.0,63.0
8,82.0,97.0,105.0,80.0,78.0,88.0,89.0,73.0,70.0,79.0,82.0,65.0,76.0,94.0,94.0,76.0,76.0,89.0,86.0,72.0,76.0,85.0,86.0,72.0,71.0,75.0,87.0,67.0,71.0,75.0,79.0,63.0,68.0,79.0,83.0,67.0
9,74.0,84.0,85.0,69.0,74.0,79.0,85.0,69.0,67.0,79.0,82.0,65.0,68.0,85.0,86.0,68.0,72.0,85.0,86.0,72.0,72.0,81.0,82.0,68.0,71.0,83.0,91.0,74.0,76.0,87.0,91.0,70.0,76.0,83.0,87.0,67.0
10,67.0,75.0,74.0,62.0,60.0,63.0,74.0,58.0,57.0,56.0,74.0,62.0,72.0,77.0,78.0,61.0,64.0,73.0,74.0,57.0,68.0,77.0,78.0,65.0,71.0,79.0,79.0,67.0,71.0,83.0,79.0,63.0,68.0,75.0,79.0,63.0
11,88.0,125.0,136.0,105.0,88.0,125.0,125.0,102.0,84.0,111.0,111.0,91.0,92.0,116.0,122.0,99.0,88.0,116.0,122.0,96.0,84.0,107.0,113.0,85.0,88.0,111.0,113.0,92.0,88.0,103.0,109.0,87.0,84.0,107.0,113.0,87.0
12,88.0,125.0,125.0,102.0,84.0,111.0,111.0,91.0,76.0,102.0,102.0,79.0,88.0,116.0,122.0,96.0,84.0,107.0,113.0,85.0,84.0,99.0,104.0,78.0,88.0,103.0,109.0,87.0,84.0,107.0,113.0,87.0,84.0,103.0,104.0,83.0
13,80.0,98.0,102.0,79.0,80.0,98.0,102.0,79.0,80.0,98.0,98.0,79.0,80.0,95.0,100.0,78.0,80.0,99.0,104.0,78.0,80.0,95.0,100.0,78.0,84.0,99.0,100.0,79.0,79.0,99.0,104.0,79.0,84.0,95.0,104.0,79.0
14,80.0,98.0,102.0,76.0,84.0,94.0,98.0,76.0,80.0,94.0,94.0,72.0,80.0,99.0,100.0,74.0,84.0,95.0,100.0,78.0,80.0,99.0,100.0,74.0,84.0,99.0,100.0,75.0,79.0,99.0,100.0,75.0,84.0,91.0,100.0,75.0
15,84.0,94.0,98.0,76.0,80.0,94.0,94.0,72.0,80.0,89.0,94.0,72.0,84.0,95.0,100.0,78.0,80.0,99.0,100.0,74.0,80.0,95.0,100.0,74.0,79.0,99.0,100.0,75.0,84.0,91.0,100.0,75.0,84.0,95.0,100.0,79.0
16,80.0,89.0,98.0,72.0,80.0,94.0,94.0,72.0,80.0,94.0,94.0,72.0,84.0,95.0,100.0,74.0,80.0,91.0,91.0,70.0,71.0,91.0,96.0,74.0,79.0,95.0,100.0,75.0,71.0,83.0,96.0,75.0,67.0,72.0,96.0,83.0
17,84.0,111.0,106.0,87.0,84.0,106.0,111.0,87.0,92.0,106.0,111.0,87.0,88.0,107.0,108.0,88.0,88.0,107.0,113.0,85.0,88.0,107.0,113.0,88.0,88.0,107.0,113.0,87.0,88.0,107.0,109.0,87.0,88.0,107.0,109.0,87.0
18,84.0,106.0,111.0,87.0,92.0,106.0,111.0,87.0,92.0,111.0,111.0,87.0,88.0,107.0,113.0,85.0,88.0,107.0,113.0,88.0,92.0,107.0,113.0,88.0,88.0,107.0,109.0,87.0,88.0,107.0,109.0,87.0,88.0,107.0,104.0,83.0
19,88.0,106.0,111.0,87.0,88.0,111.0,111.0,87.0,92.0,111.0,115.0,91.0,84.0,103.0,108.0,85.0,84.0,107.0,113.0,88.0,88.0,107.0,118.0,92.0,84.0,103.0,104.0,83.0,88.0,107.0,113.0,87.0,93.0,111.0,109.0,92.0
20,92.0,115.0,120.0,94.0,88.0,111.0,111.0,91.0,84.0,106.0,111.0,87.0,88.0,107.0,113.0,92.0,92.0,112.0,122.0,92.0,88.0,112.0,113.0,85.0,84.0,107.0,109.0,92.0,88.0,107.0,113.0,92.0,84.0,103.0,109.0,87.0
21,88.0,111.0,111.0,91.0,84.0,106.0,111.0,87.0,88.0,106.0,115.0,87.0,92.0,112.0,122.0,92.0,88.0,112.0,113.0,85.0,84.0,99.0,108.0,85.0,88.0,107.0,113.0,92.0,84.0,103.0,109.0,87.0,84.0,103.0,109.0,83.0
22,84.0,111.0,115.0,87.0,84.0,102.0,115.0,91.0,88.0,111.0,120.0,94.0,84.0,107.0,113.0,88.0,88.0,112.0,113.0,92.0,92.0,112.0,118.0,92.0,84.0,107.0,118.0,92.0,88.0,111.0,123.0,96.0,93.0,116.0,118.0,96.0
23,88.0,111.0,120.0,91.0,88.0,106.0,111.0,91.0,88.0,106.0,106.0,87.0,88.0,103.0,113.0,85.0,88.0,103.0,108.0,85.0,88.0,107.0,113.0,88.0,88.0,111.0,113.0,87.0,88.0,107.0,109.0,83.0,84.0,103.0,109.0,83.0
24,88.0,106.0,106.0,87.0,88.0,106.0,111.0,87.0,88.0,111.0,111.0,87.0,88.0,107.0,113.0,88.0,88.0,107.0,118.0,88.0,88.0,103.0,118.0,85.0,84.0,103.0,109.0,83.0,88.0,103.0,113.0,87.0,88.0,107.0,109.0,87.0
